Date,Total_Cases,Daily_Cases,Active_Cases,Total_Death,Recovories
Mar-01,11123619,11563,168665,158396,11990
Mar-02,11139323,15704,170655,158506,13604
Mar-03,11156748,17425,173022,158593,14071
Mar-04,11173572,16824,176844,158707,13788
Mar-05,11192864,18292,180873,158817,14153
Mar-06,11210580,18716,185128,158916,14362
Mar-07,11229271,18691,189375,159016,14344
Mar-08,11244624,15353,188045,159093,16606
Mar-09,11261470,16846,184640,159206,20138
Mar-10,11284311,22841,189167,159341,18179
Mar-11,11305979,21668,199273,159454,11449
Mar-12,11333491,27512,202532,159612,24095
Mar-13,11358644,25153,211017,159772,16508
Mar-14,11385158,26514,219820,159893,17590
Mar-15,11409595,24437,223940,160024,20186
Mar-16,11438464,28869,234875,160212,17746
Mar-17,11474302,35838,252748,160384,17793
Mar-18,11513945,39643,271897,160540,20338
Mar-19,11554895,40950,289016,160730,23641
Mar-20,11598710,43815,309664,160927,22970
Mar-21,11645719,47009,335254,161141,21205
Mar-22,11686330,40611,345932,161339,29735
Mar-23,11733594,47264,368961,161617,23957
Mar-24,11787013,53419,395555,161867,26575
Mar-25,11846082,59069,421454,162125,32912
Mar-26,11908373,62291,453106,162418,30346
Mar-27,11971004,62631,486696,162730,28729
Mar-28,12039210,68206,522457,163026,32149
Mar-29,12095329,56119,541207,163293,37102
Mar-30,12148487,53158,552786,163649,41223
Mar-31,12220669,72182,584067,164108,40442
Apr-01,12302110,81441,614649,164577,50390
Apr-02,12391129,89019,658778,165291,44176
Apr-03,12484127,92998,691199,165806,60062
Apr-04,12587920,103793,741678,166284,52836
Apr-05,12684477,96557,787701,166731,50087
Apr-06,12799746,115269,842624,167363,59714
Apr-07,12926061,126315,909107,168049,59146
Apr-08,13057954,131893,978359,168854,61836
Apr-09,13202783,144829,1045214,169629,77199
Apr-10,13355465,152682,1106661,170471,90393
Apr-11,13525379,169914,1200287,171379,75380
Apr-12,13686073,160694,1263370,172263,96727
Apr-13,13871321,185248,1365334,173299,82248
Apr-14,14070890,199569,1470393,174351,93458
Apr-15,14287740,216850,1568211,175551,117832
Apr-16,14521683,233943,1677896,176898,121911
Apr-17,14782461,260778,1798949,178418,138205
Apr-18,15057767,275306,1928856,180063,143754
Apr-19,15314714,256947,2029644,181850,154372
Apr-20,15609004,294290,2155234,183907,166643
Apr-21,15924806,315802,2289351,186049,179543
Apr-22,16257309,332503,2427355,188348,192200
Apr-23,16602456,345147,2549329,191008,220513
Apr-24,16951769,349313,2679863,193824,215962
Apr-25,17306300,354531,2812980,196680,218559
Apr-26,17625735,319435,2880901,199492,248702
Apr-27,17988637,362902,2978095,202838,262362
Apr-28,18368096,379459,3083274,206546,270572
Apr-29,18754984,386888,3171108,219111,295489
Apr-30,19157094,402110,3270400,213691,299238
May-01,19549656,392562,3349977,217907,308769
May-02,19919715,370056,3916420,221557,299966
May-03,20275543,355828,3449491,225349,318965
May-04,20658234,382691,3490231,229603,337697
May-05,21070852,412618,3567855,233921,330676
May-06,21485285,414433,3649811,238064,328334
May-07,21886611,401326,3727003,242523,319675
May-08,22295911,409300,3737520,246893,394413
May-09,22662410,366499,3746279,250865,353768
May-10,22991927,329317,3715578,255142,355941
May-11,23340426,348499,3703912,259864,355443
May-12,23702832,362406,3709308,264458,351786
May-13,24046120,343288,3703873,268880,344931
May-14,24372243,326123,3672286,273634,352956
May-15,24683065,310822,3615650,278377,362715
May-16,24968925,281860,3514665,282651,378571
May-17,25227970,263045,3350714,287253,422394
May-18,25495144,267174,3223339,292102,389700
May-19,25771405,476261,3126543,296179,368980
May-20,26030674,259269,3023886,300887,357218
May-21,26285069,254395,2920572,305480,353116
May-22,26528846,253777,2800859,309464,359506
May-23,26751681,222835,2716402,314360,302396
May-24,26947496,195815,2581581,318155,326841
May-25,27156382,208885,2490263,322820,295539
May-26,27367935,211553,2414903,327018,282715
May-27,27547705,179770,2326600,330779,264312
May-28,27719431,171726,2213916,334563,280626
May-29,27893472,174041,2108351,338301,275868
May-30,28046957,153485,2020852,341576,237709
May-31,28173655,126698,1889376,344775,254975
